season,team,player,age,mp,pts,ht,inches
1991,CHI,Bill Cartwright,33,160,44,7-1,85
1991,CHI,Craig Hodges,30,53,19,6-2,74
1991,CHI,Cliff Levingston,30,90,16,6-8,80
1991,CHI,B.J. Armstrong,23,37,10,6-2,74
1991,CHI,Will Perdue,25,37,8,7-0,84
1991,CHI,Scott Williams,22,45,8,6-10,82
1991,CHI,Stacey King,24,6,2,6-11,83
1991,CHI,Dennis Hopson,25,2,0,6-5,77
1992,CHI,Michael Jordan,28,254,215,6-6,78
1992,CHI,Scottie Pippen,26,244,125,6-8,80
1992,CHI,John Paxson,31,185,62,6-2,74
1992,CHI,Horace Grant,26,227,55,6-10,82
1992,CHI,Bill Cartwright,34,151,38,7-1,85
1992,CHI,B.J. Armstrong,24,107,35,6-2,74
1992,CHI,Scott Williams,23,128,33,6-10,82
1992,CHI,Cliff Levingston,31,65,23,6-8,80
1992,CHI,Stacey King,25,48,18,6-11,83
1992,CHI,Bob Hansen,31,40,16,6-6,78
1992,CHI,Craig Hodges,31,6,2,6-2,74
1992,CHI,Will Perdue,26,10,2,7-0,84
1993,CHI,Michael Jordan,29,274,246,6-6,78
1993,CHI,Scottie Pippen,27,266,127,6-8,80
1993,CHI,B.J. Armstrong,25,251,81,6-2,74
1993,CHI,Horace Grant,27,233,67,6-10,82
1993,CHI,John Paxson,32,96,35,6-2,74
1993,CHI,Scott Williams,24,159,28,6-10,82
1993,CHI,Bill Cartwright,35,128,26,7-1,85
1993,CHI,Trent Tucker,33,41,17,6-5,77
1993,CHI,Stacey King,26,49,13,6-11,83
1993,CHI,Rodney McCray,31,4,0,6-7,79
1993,CHI,Will Perdue,27,9,0,7-0,84
1993,CHI,Darrell Walker,31,5,0,6-4,76
1994,HOU,Hakeem Olajuwon,31,302,188,7-0,84
1994,HOU,Vernon Maxwell,28,264,94,6-4,76
1994,HOU,Robert Horry,23,265,72,6-9,81
1994,HOU,Sam Cassell,24,158,70,6-3,75
1994,HOU,Otis Thorpe,31,277,65,6-9,81
1994,HOU,Carl Herrera,27,121,50,6-9,81
1994,HOU,Kenny Smith,28,178,39,6-3,75
1994,HOU,Mario Elie,30,79,17,6-5,77
1994,HOU,Matt Bullard,26,27,8,6-10,82
1994,HOU,Earl Cureton,36,2,0,6-9,81
1994,HOU,Chris Jent,24,7,0,6-7,79
1995,HOU,Hakeem Olajuwon,32,179,131,7-0,84
1995,HOU,Clyde Drexler,32,162,86,6-7,79
1995,HOU,Robert Horry,24,187,71,6-9,81
1995,HOU,Mario Elie,31,161,65,6-5,77
1995,HOU,Sam Cassell,25,93,57,6-3,75
1995,HOU,Kenny Smith,29,105,30,6-3,75
1995,HOU,Chucky Brown,26,38,12,6-7,79
1995,HOU,Charles Jones,37,57,4,6-9,81
1995,HOU,Pete Chilcutt,26,3,0,6-10,82
1996,CHI,Michael Jordan,32,252,164,6-6,78
1996,CHI,Scottie Pippen,30,248,94,6-8,80
1996,CHI,Toni Kukoc,27,177,78,6-10,82
1996,CHI,Luc Longley,27,170,70,7-2,86
1996,CHI,Dennis Rodman,34,225,45,6-7,79
1996,CHI,Ron Harper,32,116,39,6-6,78
1996,CHI,Steve Kerr,30,113,30,6-3,75
1996,CHI,Randy Brown,27,49,17,6-2,74
1996,CHI,Bill Wennington,32,42,17,7-0,84
1996,CHI,Jud Buechler,27,33,4,6-6,78
1996,CHI,John Salley,31,15,0,6-11,83
1997,CHI,Michael Jordan,33,256,194,6-6,78
1997,CHI,Scottie Pippen,31,257,120,6-8,80
1997,CHI,Toni Kukoc,28,140,48,6-10,82
1997,CHI,Bison Dele,27,121,41,6-9,81
1997,CHI,Luc Longley,28,131,41,7-2,86
1997,CHI,Ron Harper,33,162,29,6-6,78
1997,CHI,Steve Kerr,31,117,26,6-3,75
1997,CHI,Dennis Rodman,35,163,14,6-7,79
1997,CHI,Jud Buechler,28,52,10,6-6,78
1997,CHI,Randy Brown,28,24,4,6-2,74
1997,CHI,Jason Caffey,23,17,0,6-8,80
1998,CHI,Michael Jordan,34,250,201,6-6,78
1998,CHI,Scottie Pippen,32,237,94,6-8,80
1998,CHI,Toni Kukoc,29,222,91,6-10,82
1998,CHI,Ron Harper,34,172,32,6-6,78
1998,CHI,Luc Longley,29,130,30,7-2,86
1998,CHI,Steve Kerr,32,124,23,6-3,75
1998,CHI,Scott Burrell,27,84,21,6-7,79
1998,CHI,Dennis Rodman,36,183,20,6-7,79
